Acronym,Full Building Name,Responsibility,Middle Coordinate,Top Left Coordinate,Top Right Coordinate,Bottom Left Coordinate,Bottom Right Coordinate,Alt Middle,Alt Top Left,Alt Top Right,Alt Bottom Left,Alt Bottom Right
AEB,Advanced Engineering Building,Ethan,"36.1099659, -115.1406138","36.1102370, -115.1408388","36.1102370, -115.1404381","36.1096579, -115.1408388","36.1096579, -115.1404381",,,,,
BMC,Lee and Thomas Beam Music Center,Ethan,"36.1102954, -115.1380853","36.1108612, -115.1384192","36.1108661, -115.1379397","36.1098434, -115.1383348","36.1098434, -115.1378454",,,,,
CEB,William D. Carlson Education ,Ethan,"36.1092965, -115.1406021","36.1094131, -115.1409921","36.1094568, -115.1401938","36.1091469, -115.1409699","36.1091928, -115.1401758",,,,,
FND,Foundation Building,Ethan,"36.1110877, -115.1387639","36.1112902, -115.1390280","36.111324, -115.1384551","36.1108004, -115.1390043","36.1108604, -115.1384511",,,,,
GRA,Archie C. Grant Hall,Ethan,"36.1087148, -115.1382462","36.1090757, -115.1385775","36.1090757, -115.1379306","36.1083013, -115.1386119","36.1082973, -115.1379306",,,,,
HBL,High Bay Lab,Ethan,,,,,,,,,,
HEA,Holbert H. Hendrix Education Auditorium,Ethan,"36.1093597, -115.1399003","36.1094582, -115.1400632","36.1094582, -115.1397351","36.109248, -115.1400632","36.1092480, -115.1397351",,,,,
HFA,Alta Ham Fine Arts,Ethan,"36.1094515, -115.1383948","36.1098085, -115.1387946","36.1098085, -115.1381219","36.1091328, -115.1387475","36.1091638, -115.1380694","36.1091220, -115.1388742","36.1094671,  -115.1389736","36.1094437, -115.1388049","36.1086952, -115.1389175","36.1087125, -115.1387623"
JBT,Judy Bayley Theatre,Ethan,"36.1101373, -115.1387956","36.1103007, -115.1391971","36.1103205, -115.1384090","36.1098551, -115.1391971","36.1098551, -115.1383830",,,,,
PKG-1,Cottage Grove Parking Garage,Ethan,"36.1112282, -115.1401491","36.1117224, -115.1407215","36.1117773, -115.1396327","36.1105434, -115.1407215","36.1105797, -115.1395705",,,,,
SWC,Sidewalk Café,Ethan,"36.1093386, -115.1411362","36.10942, -115.1412708","36.10942, -115.1410468","36.1092214, -115.1412708","36.1092214, -115.1410468",,,,,
TAC,Richard Tam Alumni Center,Ethan,"36.1081030, -115.1385205","36.1082761, -115.1388148","36.1082761, -115.1382709","36.1078273, -115.1388148","36.1078273, -115.1382709",,,,,
TBE,Thomas T. Beam Engineering Complex,Ethan,"36.1100961, -115.1416116","36.110395, -115.1421890","36.110395, -115.1409556","36.1096317, -115.1421890","36.1096833, -115.1409556",,,,,
BHS,Rod Lee Bigelow Health Sciences,Jacob,"36.1099316, -115.1442096","36.1101016, -115.1447670","36.1101314, -115.1437952","36.1096495, -115.1446416","36.1096935, -115.1436901",,,,,
BPB,Robert L. Bigelow Physics,Jacob,"36.1090353, -115.1434908","36.1092652, -115.1440026","36.1093416, -115.1429743","36.1082973, -115.1385775","36.1087520, -115.1430111",,,,,
CHE,Chemistry Building,Jacob,"36.1090336, -115.1423054","36.1092976, -115.1426849","36.109266, -115.1419899","36.1087642, -115.1426328","36.1088084, -115.1419799",,,,,
CLB1,Campus Lab Building 1,Jacob,"36.1083036, -115.1441076","36.1084946, -115.1442938","36.1085143, -115.1439577","36.108111, -115.1442759","36.1081227, -115.1439311",,,,,
CLB2,Campus Lab Building 2,Jacob,"36.1082759, -115.1435763","36.1085148, -115.1437961","36.1085277, -115.1434064","36.1079915, -115.1437561","36.1080116, -115.1433619",,,,,
CLB3,Campus Lab Building 3,Jacob,"36.1082115, -115.1428219","36.1082715, -115.1432149","36.1083078, -115.1424616","36.1081406, -115.1432017","36.1081628, -115.1424379",,,,,
MPE,Paul McDermott Physical Education Complex,Jacob,"36.1093766, -115.1456447","36.1101967, -115.1465373","36.1102494, -115.1449971","36.1083839, -115.1463962","36.1084468, -115.1448699",,,,,
SEB,Science and Engineering Building,Jacob,"36.110894, -115.1414874","36.1111083, -115.1422102","36.1111810, -115.1408521","36.1105732, -115.1421982","36.1106134, -115.1408711",,,,,
STL,Science Teaching Labs,Jacob,"36.1090622, -115.1444179","36.1091371, -115.1446036","36.109154, -115.1441870","36.1089868, -115.1445921","36.1089958, -115.1441700",,,,,
WHA,White Hall Annex,Jacob,"36.1102587, -115.1423796","36.1104149, -115.1424868","36.1104261, -115.1422918","36.110094, -115.1424682","36.1101066, -115.1422708",,,,,
WHI,Juanita Greer White Life Sciences,Jacob,"36.1099697, -115.1429044","36.1103132, -115.1435277","36.110272, -115.1426792","36.1096480, -115.1434991","36.1097211, -115.1422437",,,,,
BEH,Frank and Estella Beam Hall,Nathan,"36.106178, -115.139894","36.106539,  115.140491","36.106551, -115.139468","36.105832, -115.140405","36.105886, -115.139433",,,,,
